"Handle","Image Src","Image Position","Image Alt Text"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/carcass-1003.jpg","1","ci-600mm-3-sertare carcass"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-alb-mat.jpg","2","ci-600mm-3-sertare alb-mat"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-gri-deschis-mat.jpg","3","ci-600mm-3-sertare gri-deschis-mat"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-gri-inchis-mat.jpg","4","ci-600mm-3-sertare gri-inchis-mat"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-olive-mat.jpg","5","ci-600mm-3-sertare olive-mat"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-negru-mat.jpg","6","ci-600mm-3-sertare negru-mat"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-alb-lucios.jpg","7","ci-600mm-3-sertare alb-lucios"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-gri-lucios.jpg","8","ci-600mm-3-sertare gri-lucios"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-negru-lucios.jpg","9","ci-600mm-3-sertare negru-lucios"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-stejar-furnir.jpg","10","ci-600mm-3-sertare stejar-furnir"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-nuc-furnir.jpg","11","ci-600mm-3-sertare nuc-furnir"
"ci-600mm-3-sertare","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1003-gri-furnir.jpg","12","ci-600mm-3-sertare gri-furnir"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/carcass-1010.jpg","1","ci-600mm-1-usa carcass"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-alb-mat.jpg","2","ci-600mm-1-usa alb-mat"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-gri-deschis-mat.jpg","3","ci-600mm-1-usa gri-deschis-mat"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-gri-inchis-mat.jpg","4","ci-600mm-1-usa gri-inchis-mat"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-olive-mat.jpg","5","ci-600mm-1-usa olive-mat"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-negru-mat.jpg","6","ci-600mm-1-usa negru-mat"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-alb-lucios.jpg","7","ci-600mm-1-usa alb-lucios"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-gri-lucios.jpg","8","ci-600mm-1-usa gri-lucios"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-negru-lucios.jpg","9","ci-600mm-1-usa negru-lucios"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-stejar-furnir.jpg","10","ci-600mm-1-usa stejar-furnir"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-nuc-furnir.jpg","11","ci-600mm-1-usa nuc-furnir"
"ci-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1010-gri-furnir.jpg","12","ci-600mm-1-usa gri-furnir"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/carcass-1013.jpg","1","ci-800mm-2-usi carcass"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-alb-mat.jpg","2","ci-800mm-2-usi alb-mat"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-gri-deschis-mat.jpg","3","ci-800mm-2-usi gri-deschis-mat"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-gri-inchis-mat.jpg","4","ci-800mm-2-usi gri-inchis-mat"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-olive-mat.jpg","5","ci-800mm-2-usi olive-mat"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-negru-mat.jpg","6","ci-800mm-2-usi negru-mat"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-alb-lucios.jpg","7","ci-800mm-2-usi alb-lucios"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-gri-lucios.jpg","8","ci-800mm-2-usi gri-lucios"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-negru-lucios.jpg","9","ci-800mm-2-usi negru-lucios"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-stejar-furnir.jpg","10","ci-800mm-2-usi stejar-furnir"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-nuc-furnir.jpg","11","ci-800mm-2-usi nuc-furnir"
"ci-800mm-2-usi","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-1013-gri-furnir.jpg","12","ci-800mm-2-usi gri-furnir"
"cs-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/carcass-2010.jpg","1","cs-600mm-1-usa carcass"
"cs-600mm-1-usa","https://raw.githubusercontent.com/asaboakmont/asab-cabinet-images/main/door-2010-alb-mat.jpg","2","cs-600mm-1-usa alb-mat"
